id,type,src,dst,app,latency,message,ctime,size,buffer
43,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,515.0005,5000,4
43,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,515.0005,20000000,5
38,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,520.0005,5000,6
38,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,520.0005,20000000,7
41,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,520.0005,5000,8
41,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,520.0005,20000000,9
44,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,520.0005,5000,10
44,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,520.0005,20000000,11
39,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,525.0005,5000,9
39,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,525.0005,20000000,10
42,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,525.0005,5000,11
42,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,525.0005,20000000,12
45,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,525.0005,5000,13
45,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,525.0005,20000000,14
46,LINK,4,1,water_pipe_control,10.0005,sensor_to_cloudlet,600,10000,0
47,LINK,5,1,water_pipe_control,10.0005,sensor_to_cloudlet,600,10000,1
48,LINK,6,1,water_pipe_control,10.0005,sensor_to_cloudlet,600,10000,2
49,LINK,7,2,water_pipe_control,10.0005,sensor_to_cloudlet,600,10000,3
50,LINK,8,2,water_pipe_control,10.0005,sensor_to_cloudlet,600,10000,4
51,LINK,9,2,water_pipe_control,10.0005,sensor_to_cloudlet,600,10000,5
52,LINK,10,3,water_pipe_control,10.0005,sensor_to_cloudlet,600,10000,6
53,LINK,11,3,water_pipe_control,10.0005,sensor_to_cloudlet,600,10000,7
54,LINK,12,3,water_pipe_control,10.0005,sensor_to_cloudlet,600,10000,8
46,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,615.0005,5000,0
46,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,615.0005,20000000,1
49,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,615.0005,5000,2
49,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,615.0005,20000000,3
52,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,615.0005,5000,4
52,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,615.0005,20000000,5
47,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,620.0005,5000,6
47,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,620.0005,20000000,7
50,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,620.0005,5000,8
50,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,620.0005,20000000,9
53,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,620.0005,5000,10
53,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,620.0005,20000000,11
48,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,625.0005,5000,9
48,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,625.0005,20000000,10
51,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,625.0005,5000,11
51,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,625.0005,20000000,12
54,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,625.0005,5000,13
54,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,625.0005,20000000,14
55,LINK,4,1,water_pipe_control,10.0005,sensor_to_cloudlet,700,10000,0
56,LINK,5,1,water_pipe_control,10.0005,sensor_to_cloudlet,700,10000,1
57,LINK,6,1,water_pipe_control,10.0005,sensor_to_cloudlet,700,10000,2
58,LINK,7,2,water_pipe_control,10.0005,sensor_to_cloudlet,700,10000,3
59,LINK,8,2,water_pipe_control,10.0005,sensor_to_cloudlet,700,10000,4
60,LINK,9,2,water_pipe_control,10.0005,sensor_to_cloudlet,700,10000,5
61,LINK,10,3,water_pipe_control,10.0005,sensor_to_cloudlet,700,10000,6
62,LINK,11,3,water_pipe_control,10.0005,sensor_to_cloudlet,700,10000,7
63,LINK,12,3,water_pipe_control,10.0005,sensor_to_cloudlet,700,10000,8
55,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,715.0005,5000,0
55,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,715.0005,20000000,1
58,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,715.0005,5000,2
58,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,715.0005,20000000,3
61,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,715.0005,5000,4
61,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,715.0005,20000000,5
56,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,720.0005,5000,6
56,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,720.0005,20000000,7
59,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,720.0005,5000,8
59,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,720.0005,20000000,9
62,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,720.0005,5000,10
62,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,720.0005,20000000,11
57,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,725.0005,5000,9
57,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,725.0005,20000000,10
60,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,725.0005,5000,11
60,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,725.0005,20000000,12
63,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,725.0005,5000,13
63,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,725.0005,20000000,14
64,LINK,4,1,water_pipe_control,10.0005,sensor_to_cloudlet,800,10000,0
65,LINK,5,1,water_pipe_control,10.0005,sensor_to_cloudlet,800,10000,1
66,LINK,6,1,water_pipe_control,10.0005,sensor_to_cloudlet,800,10000,2
67,LINK,7,2,water_pipe_control,10.0005,sensor_to_cloudlet,800,10000,3
68,LINK,8,2,water_pipe_control,10.0005,sensor_to_cloudlet,800,10000,4
69,LINK,9,2,water_pipe_control,10.0005,sensor_to_cloudlet,800,10000,5
70,LINK,10,3,water_pipe_control,10.0005,sensor_to_cloudlet,800,10000,6
71,LINK,11,3,water_pipe_control,10.0005,sensor_to_cloudlet,800,10000,7
72,LINK,12,3,water_pipe_control,10.0005,sensor_to_cloudlet,800,10000,8
64,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,815.0005,5000,0
64,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,815.0005,20000000,1
67,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,815.0005,5000,2
67,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,815.0005,20000000,3
70,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,815.0005,5000,4
70,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,815.0005,20000000,5
65,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,820.0005,5000,6
65,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,820.0005,20000000,7
68,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,820.0005,5000,8
68,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,820.0005,20000000,9
71,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,820.0005,5000,10
71,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,820.0005,20000000,11
66,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,825.0005,5000,9
66,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,825.0005,20000000,10
69,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,825.0005,5000,11
69,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,825.0005,20000000,12
72,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,825.0005,5000,13
72,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,825.0005,20000000,14
73,LINK,4,1,water_pipe_control,10.0005,sensor_to_cloudlet,900,10000,0
74,LINK,5,1,water_pipe_control,10.0005,sensor_to_cloudlet,900,10000,1
75,LINK,6,1,water_pipe_control,10.0005,sensor_to_cloudlet,900,10000,2
76,LINK,7,2,water_pipe_control,10.0005,sensor_to_cloudlet,900,10000,3
77,LINK,8,2,water_pipe_control,10.0005,sensor_to_cloudlet,900,10000,4
78,LINK,9,2,water_pipe_control,10.0005,sensor_to_cloudlet,900,10000,5
79,LINK,10,3,water_pipe_control,10.0005,sensor_to_cloudlet,900,10000,6
80,LINK,11,3,water_pipe_control,10.0005,sensor_to_cloudlet,900,10000,7
81,LINK,12,3,water_pipe_control,10.0005,sensor_to_cloudlet,900,10000,8
73,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,915.0005,5000,0
73,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,915.0005,20000000,1
76,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,915.0005,5000,2
76,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,915.0005,20000000,3
79,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,915.0005,5000,4
79,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,915.0005,20000000,5
74,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,920.0005,5000,6
74,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,920.0005,20000000,7
77,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,920.0005,5000,8
77,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,920.0005,20000000,9
80,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,920.0005,5000,10
